#{"t_start": 1617611168.7877684, "env_id": null}
r,l,t
-0.809524,9,106.678061
-0.857143,7,106.8788
-0.809524,9,107.16538
1.166667,8,107.401451
-0.833333,8,107.645868
1.285714,13,108.046086
-9.666667,15,108.527723
1.142857,7,108.686025
-0.904762,5,108.850532
-0.809524,9,109.113568
-0.809524,9,109.393441
-0.785714,10,109.706982
-0.904762,5,109.852646
-0.809524,9,110.130771
-0.857143,7,110.3513
1.214286,10,110.611114
1.238095,11,110.91792
1.142857,7,111.109022
-0.785714,10,111.405746
-0.809524,9,111.659307
-0.809524,9,111.927298
-0.904762,5,112.059768
-0.880952,6,112.248861
1.190476,9,112.500179
-0.857143,7,112.70526
1.190476,9,112.963062
1.190476,9,113.223155
-0.809524,9,113.479363
-0.857143,7,113.71053
-0.857143,7,113.911008
-0.761905,11,114.250713
-0.833333,8,114.508254
-0.857143,7,114.740488
-0.809524,9,114.984523
1.166667,8,115.209257
1.142857,7,115.403356
-0.809524,9,115.683059
-0.857143,7,115.904392
-0.809524,9,116.180781
1.166667,8,116.376563
-0.785714,10,116.695666
-0.738095,12,117.071928
-0.809524,9,117.366886
-0.809524,9,117.70777
-0.809524,9,118.011048
-0.904762,5,118.19389
-0.738095,12,118.566646
-9.809524,9,118.786354
-0.809524,9,119.04856
-0.857143,7,119.270432
-0.880952,6,119.4367
1.190476,9,119.687489
-0.666667,15,120.091118
-0.833333,8,120.347188
-0.809524,9,120.61862
-0.880952,6,120.816354
-0.833333,8,121.071859
-0.857143,7,121.277203
-0.857143,7,121.515106
-0.857143,7,121.705167
-0.904762,5,121.87394
-0.857143,7,122.078073
-0.857143,7,122.311134
1.238095,11,122.644299
-0.785714,10,122.959773
-0.785714,10,123.29021
1.166667,8,123.583183
1.214286,10,123.881375
1.166667,8,124.076619
-0.761905,11,124.40248
-0.761905,11,124.755304
-0.880952,6,124.96984
1.238095,11,125.307953
-0.809524,9,125.56684
1.166667,8,125.800764
-0.785714,10,128.337517
-0.809524,9,128.583547
1.238095,11,128.866807
-0.904762,5,128.991924
-0.880952,6,129.188229
-9.833333,8,129.37913
-0.809524,9,129.639844
-0.761905,11,129.957093
-0.785714,10,130.242129
-0.785714,10,130.524447
-0.833333,8,130.726948
-0.833333,8,130.965181
-0.785714,10,131.267616
-0.833333,8,131.491652
-0.857143,7,131.703414
-0.785714,10,131.998612
-0.928571,4,132.116414
-0.928571,4,132.228381
-0.928571,4,132.372472
-0.785714,10,132.679056
-0.809524,9,132.927272
-0.809524,9,133.216617
-0.857143,7,133.448174
-0.857143,7,133.638288
-0.785714,10,133.932982
1.285714,13,134.279351
-0.928571,4,134.397409
-0.857143,7,134.64178
-0.809524,9,134.942058
-0.904762,5,135.088639
-0.809524,9,135.35788
-0.809524,9,135.639202
1.238095,11,135.951065
-0.833333,8,136.176684
-0.857143,7,136.402345
-0.880952,6,136.572655
-0.809524,9,136.849497
-0.666667,15,137.294817
-0.904762,5,137.474375
-0.738095,12,137.833943
-0.928571,4,137.947454
-0.833333,8,138.202916
1.095238,5,138.321489
-0.857143,7,138.535644
1.142857,7,138.68987
-0.785714,10,139.006801
-0.785714,10,139.316017
-0.809524,9,139.598332
-0.904762,5,139.737226
-0.714286,13,140.127512
-0.857143,7,140.351426
1.119048,6,140.493582
-0.761905,11,140.830727
1.214286,10,141.083062
-0.761905,11,141.415815
-0.857143,7,141.659054
-0.857143,7,141.863036
-0.809524,9,142.169764
-0.809524,9,142.491832
-0.904762,5,142.68248
1.166667,8,142.968079
1.166667,8,143.190761
1.190476,9,143.4515
1.190476,9,143.707983
-0.761905,11,144.023991
-0.809524,9,144.289025
-0.809524,9,144.573652
-0.809524,9,144.861749
-0.904762,5,145.010608
1.119048,6,145.194973
-0.785714,10,145.484938
-0.833333,8,145.737771
-0.833333,8,145.990182
-0.785714,10,146.317582
-0.833333,8,146.543559
-0.857143,7,146.782205
-0.785714,10,147.135527
-0.738095,12,147.526293
-0.809524,9,147.786515
-0.785714,10,148.108556
-0.833333,8,148.373419
1.119048,6,148.518484
-0.833333,8,148.766962
-0.785714,10,149.075795
1.190476,9,149.303038
-0.833333,8,149.556078
-0.809524,9,149.82628
1.214286,10,150.118259
1.166667,8,150.316588
1.095238,5,150.469083
-0.928571,4,150.581479
-0.761905,11,150.91942
-0.785714,10,151.228216
1.119048,6,151.378383
-0.833333,8,151.676187
-0.761905,11,152.02998
-0.857143,7,152.238155
1.190476,9,152.507828
1.214286,10,152.777445
-0.833333,8,152.984611
-0.809524,9,153.272586
1.142857,7,153.485996
-0.809524,9,153.751492
-0.809524,9,154.039393
1.214286,10,154.324667
1.190476,9,154.553794
-0.904762,5,154.727181
-0.785714,10,155.041857
-0.809524,9,155.299112
-0.833333,8,155.54905
-0.833333,8,155.807348
-0.809524,9,156.09021
-0.738095,12,156.429667
-0.833333,8,156.707499
-0.761905,11,157.062522
-0.857143,7,157.2889
1.095238,5,157.411044
-0.785714,10,157.720302
-0.904762,5,157.857679
-0.857143,7,158.064074
-0.880952,6,158.215679
-0.857143,7,158.425997
-0.785714,10,158.686566
-0.809524,9,158.970858
-0.809524,9,159.255801
-0.785714,10,159.561645
1.095238,5,159.68376
-0.761905,11,160.017508
-0.738095,12,160.361598
1.190476,9,160.567939
1.166667,8,160.777039
1.166667,8,160.969749
-0.809524,9,161.258001
1.190476,9,161.535811
-0.785714,10,161.855823
-0.809524,9,162.109065
-0.833333,8,162.376426
