#{"t_start": 1617615569.6735675, "env_id": null}
r,l,t
-0.833333,8,100.984969
-0.809524,9,101.337433
-0.880952,6,101.543251
-0.857143,7,101.748248
-0.880952,6,101.92293
-0.809524,9,102.256772
1.190476,9,102.491954
-0.880952,6,102.669267
-0.833333,8,102.921059
-0.809524,9,103.268971
1.166667,8,103.503721
1.119048,6,103.672924
-0.809524,9,104.00841
-0.904762,5,104.16248
1.142857,7,104.380705
-0.857143,7,104.616385
-0.857143,7,104.927418
-0.857143,7,105.15955
1.119048,6,105.308809
1.119048,6,105.482468
-0.809524,9,105.821506
-0.880952,6,105.999494
-0.833333,8,106.239786
-0.833333,8,106.481275
-0.880952,6,106.74051
-0.880952,6,106.925313
1.214286,10,107.222075
-0.809524,9,107.576755
1.238095,11,107.917023
-0.880952,6,108.118781
-0.904762,5,108.278719
-0.880952,6,108.529175
-0.857143,7,108.750703
-0.785714,10,109.081813
-0.880952,6,109.28266
-0.857143,7,109.598179
-0.785714,10,109.911662
-0.833333,8,110.177279
1.190476,9,110.512758
-0.857143,7,110.733611
-0.809524,9,111.018144
-0.833333,8,111.3427
1.166667,8,111.584174
-0.880952,6,111.767956
-0.880952,6,111.943617
-0.857143,7,112.244797
-0.833333,8,112.48922
-0.785714,10,112.802797
1.095238,5,112.996614
-0.785714,10,113.291059
-0.904762,5,113.437436
-0.904762,5,113.592558
1.142857,7,113.842816
-0.833333,8,114.097059
1.166667,8,114.318409
-0.880952,6,114.502902
-0.809524,9,114.837993
1.142857,7,115.034664
-0.904762,5,115.189723
-0.833333,8,115.442734
-9.857143,7,115.703309
-0.857143,7,115.927749
-0.833333,8,116.170683
-0.761905,11,116.566079
-0.809524,9,116.842515
-0.880952,6,117.02049
1.119048,6,117.178941
1.119048,6,117.404773
-0.904762,5,117.563961
-0.857143,7,117.773525
-0.904762,5,117.92072
-0.809524,9,118.251585
-0.785714,10,118.552183
-0.833333,8,118.789287
-0.857143,7,119.078801
-0.857143,7,119.283521
1.166667,8,119.495598
-0.857143,7,119.711313
-0.880952,6,119.95182
-0.880952,6,120.129254
-0.904762,5,120.27764
-0.833333,8,120.532443
-0.809524,9,120.877413
-0.857143,7,121.084219
1.095238,5,121.205534
-0.833333,8,121.456662
-0.833333,8,121.75756
-0.809524,9,122.022144
-0.857143,7,122.245981
1.142857,7,122.507328
-0.857143,7,122.716539
1.095238,5,122.834876
-0.857143,7,123.03793
-9.833333,8,123.336357
-0.809524,9,123.639872
-0.833333,8,123.907155
-0.857143,7,124.197819
-0.833333,8,124.453735
1.119048,6,124.622066
-0.833333,8,124.892359
-0.857143,7,125.1878
-0.904762,5,125.34857
-0.904762,5,125.507923
-0.904762,5,125.677255
1.095238,5,125.841245
1.190476,9,126.17124
-0.857143,7,126.402472
-0.833333,8,126.671412
1.190476,9,126.98225
1.071429,4,127.075314
-0.904762,5,127.233104
-0.880952,6,127.417345
-0.880952,6,127.605839
1.071429,4,127.777113
-0.809524,9,128.081089
-0.880952,6,128.284292
-0.857143,7,128.498112
-0.880952,6,128.759411
-0.785714,10,129.058326
-0.785714,10,129.375239
-0.809524,9,129.721615
-0.880952,6,129.911039
-0.857143,7,130.132601
-0.880952,6,130.320217
-0.857143,7,130.605022
1.142857,7,130.807497
1.142857,7,130.990231
1.214286,10,131.326824
-0.857143,7,131.534317
-0.833333,8,131.785119
-0.809524,9,132.129215
-0.904762,5,132.286004
-0.857143,7,132.493585
-0.880952,6,132.674885
-0.833333,8,132.98014
-0.904762,5,133.135658
-0.833333,8,133.369807
-0.809524,9,133.655348
-0.785714,10,134.028302
1.071429,4,134.125949
-0.904762,5,134.283951
-0.857143,7,134.503269
-0.904762,5,134.665803
-0.809524,9,135.025922
-0.904762,5,135.184722
-0.880952,6,135.376591
-0.857143,7,135.664095
-0.880952,6,135.862826
-0.833333,8,136.109756
-0.857143,7,136.333595
-0.809524,9,136.688361
-0.857143,7,136.909529
-9.857143,7,137.109384
-0.833333,8,137.423022
-0.785714,10,137.734215
-0.833333,8,137.981841
-0.857143,7,138.25593
-0.809524,9,138.529089
-0.833333,8,138.797093
-0.833333,8,139.069704
-0.833333,8,141.826043
1.095238,5,141.957129
-0.809524,9,142.242716
-0.809524,9,142.59931
1.119048,6,142.757724
1.238095,11,143.061236
-0.857143,7,143.288693
-0.809524,9,143.651245
-0.809524,9,143.952818
1.119048,6,144.119227
-0.833333,8,144.436886
1.119048,6,144.618796
-0.833333,8,144.891112
-0.857143,7,145.114709
1.071429,4,145.279338
1.071429,4,145.373076
-0.904762,5,145.518426
-0.904762,5,145.681444
1.142857,7,145.884046
-0.857143,7,146.16946
1.095238,5,146.293612
-0.880952,6,146.477519
-0.833333,8,146.728349
1.119048,6,146.951479
-0.857143,7,147.167431
-0.880952,6,147.352743
1.095238,5,147.479966
-0.833333,8,147.740413
-0.785714,10,148.123959
-0.833333,8,148.386855
-0.809524,9,148.684715
-0.857143,7,148.983147
-0.833333,8,149.251487
-0.880952,6,149.450373
1.142857,7,149.657734
-0.809524,9,150.014996
1.095238,5,150.151417
-0.738095,12,150.538066
-0.880952,6,150.802207
-0.857143,7,151.016308
-0.880952,6,151.204823
-0.880952,6,151.391596
-9.809524,9,151.711231
